getpwuid_r did not find a match for uid 501
Filtering the log data using "process == "FloppyTurd""
Timestamp                       Thread     Type        Activity             PID    TTL  
2025-07-06 21:09:08.656189-0500 0x56e97b   Default     0x0                  81994  0    FloppyTurd: [INIT] ========================================
2025-07-06 21:09:08.656606-0500 0x56e97b   Default     0x0                  81994  0    FloppyTurd: [INIT] iOS main() STARTING
2025-07-06 21:09:08.656852-0500 0x56e97b   Default     0x0                  81994  0    FloppyTurd: [INIT] argc=1
2025-07-06 21:09:08.657071-0500 0x56e97b   Default     0x0                  81994  0    FloppyTurd: [INIT] ========================================
2025-07-06 21:09:08.657111-0500 0x56e97b   Default     0x0                  81994  0    FloppyTurd: [INIT] About to call UIApplicationMain
2025-07-06 21:09:08.658465-0500 0x56e9d9   Default     0x0                  81994  0    FloppyTurd: (libxpc.dylib) [com.apple.xpc:connection] [0x600003d000f0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2025-07-06 21:09:08.660321-0500 0x56e9d9   Activity    0x11a4f90            81994  0    FloppyTurd: (CoreFoundation) Loading Preferences From User Session CFPrefsD
2025-07-06 21:09:08.660763-0500 0x56e9da   Default     0x0                  81994  0    FloppyTurd: (RunningBoardServices) [com.apple.runningboard:connection] Initializing connection
2025-07-06 21:09:08.660820-0500 0x56e9da   Default     0x0                  81994  0    FloppyTurd: (RunningBoardServices) [com.apple.runningboard:process] Removing all cached process handles
2025-07-06 21:09:08.660857-0500 0x56e9db   Default     0x0                  81994  0    FloppyTurd: (RunningBoardServices) [com.apple.runningboard:connection] Sending handshake request attempt #1 to server
2025-07-06 21:09:08.661112-0500 0x56e9db   Default     0x0                  81994  0    FloppyTurd: (RunningBoardServices) [com.apple.runningboard:connection] Creating connection to com.apple.runningboard
2025-07-06 21:09:08.661144-0500 0x56e9db   Default     0x0                  81994  0    FloppyTurd: (libxpc.dylib) [com.apple.xpc:connection] [0x600003d0c000] activating connection: mach=true listener=false peer=false name=com.apple.runningboard
2025-07-06 21:09:08.662148-0500 0x56e9df   Default     0x0                  81994  0    FloppyTurd: (libMobileGestalt.dylib) No persisted cache on this platform.
2025-07-06 21:09:08.662137-0500 0x56e9da   Default     0x0                  81994  0    FloppyTurd: (libxpc.dylib) [com.apple.xpc:connection] [0x103a048c0] activating connection: mach=false listener=false peer=false name=(anonymous)
2025-07-06 21:09:08.662625-0500 0x56e9e0   Activity    0x11a4f91            81994  0    FloppyTurd: (RunningBoardServices) didChangeInheritances
2025-07-06 21:09:08.663175-0500 0x56e9db   Default     0x0                  81994  0    FloppyTurd: (RunningBoardServices) [com.apple.runningboard:connection] Handshake succeeded
2025-07-06 21:09:08.667611-0500 0x56e9db   Default     0x0                  81994  0    FloppyTurd: (RunningBoardServices) [com.apple.runningboard:connection] Identity resolved as app<com.floppyturd.game((null))>
2025-07-06 21:09:08.668808-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new assertion because there is no existing background assertion.
2025-07-06 21:09:08.668845-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new background assertion
2025-07-06 21:09:08.668896-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created new background assertion <BKSProcessAssertion: 0x600002106350>
2025-07-06 21:09:08.669398-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:BackgroundTask] Incrementing reference count for background assertion <BKSProcessAssertion: 0x600002106350>
2025-07-06 21:09:08.669423-0500 0x56e97b   Default     0x0                  81994  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 10; deactivation reasons: 0 -> 1024; animating application lifecycle event: 0
2025-07-06 21:09:08.669459-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created background task <_UIBackgroundTaskInfo: 0x600001711e40>: taskID = 1, taskName = Launch Background Task for Coalescing, creationTime = 198282 (elapsed = 0).
2025-07-06 21:09:08.669762-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UIApplicationSceneKeyboardSettings on FBSSceneSettings
2025-07-06 21:09:08.670037-0500 0x56e97b   Default     0x0                  81994  0    FloppyTurd: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.open
2025-07-06 21:09:08.671147-0500 0x56e97b   Default     0x0                  81994  0    FloppyTurd: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.workspace-service
2025-07-06 21:09:08.671200-0500 0x56e97b   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace registering source: com.apple.frontboard.systemappservices
2025-07-06 21:09:08.671439-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneOcclusionSettings> on FBSSceneSettings
2025-07-06 21:09:08.672018-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneInterfaceProtectionSceneSettings> on FBSSceneSettings
2025-07-06 21:09:08.673921-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UIHomeAffordanceHostSceneSettings> on FBSSceneSettings
2025-07-06 21:09:08.674269-0500 0x56e97b   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace connected to endpoint : <BSServiceConnectionEndpoint: 0x600001708fc0; target: com.apple.frontboard.systemappservices; service: com.apple.frontboard.workspace-service>
2025-07-06 21:09:08.674277-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISystemShellSceneHostingEnvironmentSettings on FBSSceneSettings
2025-07-06 21:09:08.674374-0500 0x56e97b   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:Common] <FBSWorkspaceScenesClient:0x600002c01480 com.apple.frontboard.systemappservices> attempting immediate handshake from activate
2025-07-06 21:09:08.674419-0500 0x56e97b   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:Common] <FBSWorkspaceScenesClient:0x600002c01480 com.apple.frontboard.systemappservices> sent handshake
2025-07-06 21:09:08.674456-0500 0x56e97b   Default     0x0                  81994  0    FloppyTurd: (RunningBoardServices) [com.apple.runningboard:general] Added observer for process assertions expiration warning: <_RBSExpirationWarningClient: 0x60000020b8c0>
2025-07-06 21:09:08.675313-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneRenderingEnvironmentSettings on FBSSceneSettings
2025-07-06 21:09:08.675859-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneTransitioningHostSettings> on FBSSceneSettings
2025-07-06 21:09:08.676415-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingContentSizePreferenceClientSettings> on FBSSceneClientSettings
2025-07-06 21:09:08.679111-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneHostingTraitCollectionPropagationSettings on FBSSceneSettings
2025-07-06 21:09:08.679883-0500 0x56e97b   Default     0x0                  81994  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:UIScreen] Evaluated capturing state as 0 on <UIScreen: 0x103805050> for initial
2025-07-06 21:09:08.680310-0500 0x56e97b   Default     0x0                  81994  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:UIScreen] Evaluated capturing state as 0 on <UIScreen: 0x103805050> for CADisplay KVO
2025-07-06 21:09:08.681032-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingSheetPresentationSettings> on FBSSceneSettings
2025-07-06 21:09:08.681611-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingSheetPresentationClientSettings> on FBSSceneClientSettings
2025-07-06 21:09:08.681823-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingEventDeferringHostProviding> on FBSSceneSettings
2025-07-06 21:09:08.682716-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <UIKit__UITypedKeyValueSceneSettings> on FBSSceneSettings
2025-07-06 21:09:08.682820-0500 0x56e9d8   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <UIKit__UITypedKeyValueSceneSettings> on FBSSceneClientSettings
2025-07-06 21:09:08.682682-0500 0x56e97b   Default     0x0                  81994  0    FloppyTurd: (libAccessibility.dylib) [com.apple.Accessibility:AXSupportCommon] Read CategoryName: per-app = 1, category name = (null)
2025-07-06 21:09:08.683512-0500 0x56e9da   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneSettingsCore on FBSSceneSettings
2025-07-06 21:09:08.684665-0500 0x56e9da   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneClientSettingsCore on FBSSceneClientSettings
2025-07-06 21:09:08.685557-0500 0x56e9da   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] UIMutableApplicationSceneSettings setting counterpart class: UIApplicationSceneSettings
2025-07-06 21:09:08.685722-0500 0x56e9da   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] UIMutableApplicationSceneClientSettings setting counterpart class: UIApplicationSceneClientSettings
2025-07-06 21:09:08.685824-0500 0x56e9da   Default     0x0                  81994  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneTransitionContextCore on FBSSceneTransitionContext
2025-07-06 21:09:08.689007-0500 0x56e97b   Default     0x0                  81994  0    FloppyTurd: (libAccessibility.dylib) [com.apple.Accessibility:AXSupportCommon] Read CategoryName: per-app = 0, category name = (null)
