getpwuid_r did not find a match for uid 501
Filtering the log data using "process == "FloppyTurd""
Timestamp                       Thread     Type        Activity             PID    TTL  
2025-07-06 21:16:00.954235-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] ========================================
2025-07-06 21:16:00.954946-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] iOS main() STARTING
2025-07-06 21:16:00.955085-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] argc=1
2025-07-06 21:16:00.955230-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] ========================================
2025-07-06 21:16:00.955295-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] About to call UIApplicationMain
2025-07-06 21:16:00.956746-0500 0x57365d   Default     0x0                  88611  0    FloppyTurd: (libxpc.dylib) [com.apple.xpc:connection] [0x600003d0c000] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2025-07-06 21:16:00.957919-0500 0x57365d   Activity    0x11ad770            88611  0    FloppyTurd: (CoreFoundation) Loading Preferences From User Session CFPrefsD
2025-07-06 21:16:00.958905-0500 0x57365e   Default     0x0                  88611  0    FloppyTurd: (RunningBoardServices) [com.apple.runningboard:connection] Initializing connection
2025-07-06 21:16:00.959066-0500 0x57365e   Default     0x0                  88611  0    FloppyTurd: (RunningBoardServices) [com.apple.runningboard:process] Removing all cached process handles
2025-07-06 21:16:00.959142-0500 0x57365f   Default     0x0                  88611  0    FloppyTurd: (RunningBoardServices) [com.apple.runningboard:connection] Sending handshake request attempt #1 to server
2025-07-06 21:16:00.959602-0500 0x57365f   Default     0x0                  88611  0    FloppyTurd: (RunningBoardServices) [com.apple.runningboard:connection] Creating connection to com.apple.runningboard
2025-07-06 21:16:00.960049-0500 0x573660   Default     0x0                  88611  0    FloppyTurd: (libMobileGestalt.dylib) No persisted cache on this platform.
2025-07-06 21:16:00.960022-0500 0x57365f   Default     0x0                  88611  0    FloppyTurd: (libxpc.dylib) [com.apple.xpc:connection] [0x600003d08000] activating connection: mach=true listener=false peer=false name=com.apple.runningboard
2025-07-06 21:16:00.960222-0500 0x57365e   Default     0x0                  88611  0    FloppyTurd: (libxpc.dylib) [com.apple.xpc:connection] [0x101605280] activating connection: mach=false listener=false peer=false name=(anonymous)
2025-07-06 21:16:00.961001-0500 0x57365f   Default     0x0                  88611  0    FloppyTurd: (RunningBoardServices) [com.apple.runningboard:connection] Handshake succeeded
